"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"114491",40597317,3,3,1,2,2,7,2,1,-9,-9,-9,1,-9,-9,-9,-9,1,2,-9,-9,-9,1,2,10,"GA",13,2,0,0,201703,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,46.6579801182486,"T",5,300,300,350,20,300,300
"114494",40597374,4,1,1,1,1,3,3,2,5,5,5,2,5,5,5,5,1,1,4,5,5,2,1,0,"GA",13,1,0,0,201702,1,9,1,5,1,2,6,1,1,5,3,51,1,2,"12060",1,2,2,238.663350993108,"T",30,300,300,150,60,3000,750
"114498",40597390,6,1,1,2,5,9,1,1,5,5,5,1,4,5,4,5,3,1,4,4,4,1,2,12,"GA",13,2,0,2,201704,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,551.33289462604,"T",20,300,300,150,5,300,300
"114521",40597591,7,3,1,4,5,11,1,1,3,4,5,1,5,5,5,5,5,5,5,5,5,1,2,19,"GA",13,2,0,2,201701,1,6,3,2,2,2,6,1,1,5,3,53,1,2,"XXXXX",4,1,2,253.974377566342,"R",20,300,50,75,5,300,300
"114542",40597817,2,3,2,1,0,1,-9,3,-9,-9,-9,3,-9,-9,-9,-9,3,-9,4,4,3,2,1,0,"GA",13,1,0,1,201701,1,1,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",1,3,2,148.597836890552,"C",80,3000,3000,1500,80,3000,3000
"114555",40597937,2,3,1,5,4,7,1,1,5,5,5,1,5,5,5,5,2,2,4,4,4,1,4,22,"GA",13,2,0,3,201702,1,6,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",5,1,2,130.829827037094,"R",5,50,50,25,20,50,50
"114569",40598139,7,3,1,2,3,8,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,1,2,13,"GA",13,2,0,2,201702,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,152.404956712443,"T",5,1500,300,750,5,1500,300
"114621",40598881,6,4,2,1,0,4,1,1,5,5,5,4,2,2,5,5,4,2,4,4,4,2,0,0,"GA",13,1,0,0,201702,1,9,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",1,1,2,639.51380364986,"T",40,300,50,75,40,750,300
"114632",40599031,2,3,1,1,1,3,2,2,5,2,5,1,5,5,5,5,1,2,4,4,5,2,1,2,"GA",13,1,0,0,201612,1,9,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,2,2,78.5151544654889,"R",20,300,50,75,20,300,50
"114637",40599080,2,4,1,5,3,8,1,1,4,5,5,1,5,5,5,5,2,2,4,4,4,1,5,2,"GA",13,5,0,3,201701,1,8,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",5,1,2,1176.66324842965,"R",20,50,50,25,20,50,50
"114668",40599373,2,1,2,1,2,4,1,1,1,-9,-9,-1,-9,-9,1,-9,3,3,2,5,1,2,1,6,"GA",13,1,0,1,201702,1,1,1,5,1,1,5,1,1,5,3,51,2,2,"12060",1,1,2,410.149587675158,"S",50,3000,1500,1500,70,3000,1500
"114703",40599743,4,3,2,1,1,5,1,1,1,3,4,1,5,5,5,5,3,4,4,4,4,2,1,7,"GA",13,1,0,0,201703,1,9,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,317.406169170293,"S",40,3000,1500,750,30,3000,1500
"114738",40600198,2,1,1,4,4,10,1,1,3,5,5,1,4,5,5,5,4,4,5,5,5,1,4,20,"GA",13,3,0,4,201611,1,8,1,5,1,4,6,2,1,5,3,51,1,2,"12060",4,1,1,768.884153841498,"R",5,300,300,150,5,300,50
"114739",40600216,4,3,1,1,2,6,1,5,1,5,5,1,5,5,5,5,5,4,5,5,5,2,1,9,"GA",13,1,0,0,201701,1,9,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,42.1552546637019,"R",30,50,50,25,30,50,50
"114748",40600357,2,4,1,2,2,8,1,5,5,5,5,1,5,5,5,5,4,4,5,5,5,1,2,4,"GA",13,2,0,1,201701,1,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,94.5070951190875,"R",20,300,50,75,20,300,50
"114770",40600676,6,3,2,2,1,2,1,2,5,4,5,1,5,5,5,5,2,2,4,4,5,1,1,2,"GA",13,2,0,1,201611,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,110.781512783141,"C",60,3000,1500,1500,70,7000,3000
"114775",40600761,4,3,2,1,1,6,1,2,2,1,5,2,4,4,5,4,4,4,4,4,4,2,1,5,"GA",13,1,0,0,201612,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,92.0003505747603,"T",30,300,300,75,40,750,300
